TIME,dP11,dP12,dP13,dP22,dP23,dP33
134781.733304183,6.38682155982267e-12,2.10577226988523e-10,8.08943219468187e-10,-4.26665530898765e-12,4.76640693721167e-10,-5.7893030910987e-12
134791.733432786,3.88905972462291e-13,1.63378442697052e-10,7.38179114984935e-10,2.18735571129e-13,9.92604823208576e-10,3.74703844438693e-12
134801.733561388,6.11288512737922e-12,1.87023660667857e-10,5.01322221800531e-10,6.60537379453565e-12,4.74638505571855e-10,3.6083692510402e-12
134811.733689991,1.19679479839153e-12,2.42234541533572e-10,5.92825156826771e-10,-2.86781885287236e-12,6.70063370234229e-10,-3.89613601732111e-12
134821.733818593,8.40709070828667e-12,3.25370181746484e-10,4.92312734167335e-10,4.54042662777254e-12,5.9420515840588e-10,1.28161892720092e-12
134831.733947196,9.07304663519097e-13,5.06257580289725e-10,3.01738229684737e-10,-3.30615228846969e-12,3.3079914965388e-10,7.0143919482017e-12
134841.734075798,-5.62373846145268e-13,4.9880450031361e-10,8.19507221110456e-11,3.48729467255146e-12,5.80186488659172e-10,2.69522747186313e-12
134851.734204401,4.61556457689662e-12,-1.68511585454935e-11,6.58456897496575e-10,-3.75675940690285e-12,1.11841714513516e-09,9.5338261035537e-12
134861.734333003,1.18276672197481e-11,5.7468015734478e-10,-1.19013710575263e-10,1.19912706042643e-11,7.14759532906387e-10,-3.7684076073222e-12
134871.734461606,7.86556062009922e-12,2.77066187571994e-10,2.93324340075618e-10,1.15290978552869e-11,5.3434330885752e-10,7.64338859621804e-12
134881.734590208,1.32999746385261e-11,-6.16577679980456e-11,2.59337675932989e-10,3.27692743460375e-12,4.61598125193177e-10,8.06711554259204e-12
134891.734718811,2.30640809591843e-12,4.37928104145387e-10,4.99191608595934e-10,1.49844029861142e-11,3.3863307853117e-10,1.5017209498822e-11
134901.734847413,5.22596666996982e-12,1.85007894844159e-10,1.10813613766749e-10,-2.41314384329218e-14,2.02003621219646e-10,9.67820503538728e-12
134911.734976016,6.75833135759518e-12,8.32713071899696e-10,2.15917132299771e-10,-1.05900852660919e-11,4.29929115428627e-10,7.10686654051344e-12
134921.735104618,1.16219858521806e-11,4.97181285742893e-10,3.14177575905886e-10,-3.7165381387348e-12,4.83321034535385e-10,1.53139753266413e-11
134931.735233221,4.83209653780258e-12,5.71020596255562e-11,3.47931984603863e-10,1.89628909535556e-12,3.58352660661501e-10,6.12127881508641e-12
134941.735361823,2.14932115637086e-11,2.39484159834922e-10,1.14003839598745e-10,1.3603436359414e-11,1.80938519100615e-10,2.39861731517187e-12
134951.735490426,1.00978692541288e-11,6.5870153738928e-10,2.15547627614889e-10,1.65534269050927e-12,1.05545676694014e-10,1.96941192672595e-12
134961.735619028,8.05889231804451e-12,4.86703853794638e-10,4.15494053797011e-10,4.82105667780914e-12,3.40985844727993e-10,1.18777812355082e-12
134971.735747631,8.69795386606015e-12,9.86862247982906e-11,4.31448763559487e-10,3.17535200287367e-12,4.08489778481712e-10,-2.03347268134586e-12
